YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Question,BMI,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,GeoLocation,,Locator,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2016,2016,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.4,31.4,,,28.5,34.4,2739,"(64.84507995700051, -147.72205903599973)","64.84507995700051, -147.72205903599973)","64.84507995700051, -147.72205903599973",OWS,OWS1,Q036,VALUE,2,Total,Total,OVR,OVERALL
2016,2016,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29,29,,,27.5,30.6,10033,"(34.865970280000454, -111.76381127699972)","34.865970280000454, -111.76381127699972)","34.865970280000454, -111.76381127699972",OWS,OWS1,Q036,VALUE,4,Total,Total,OVR,OVERALL
2016,2016,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.7,35.7,,,33.3,38.1,4859,"(34.74865012400045, -92.27449074299966)","34.74865012400045, -92.27449074299966)","34.74865012400045, -92.27449074299966",OWS,OWS1,Q036,VALUE,5,Total,Total,OVR,OVERALL
2016,2016,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25,25,,,23.9,26.1,10352,"(37.63864012300047, -120.99999953799971)","37.63864012300047, -120.99999953799971)","37.63864012300047, -120.99999953799971",OWS,OWS1,Q036,VALUE,6,Total,Total,OVR,OVERALL
2016,2016,CO,Colorado,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.3,22.3,,,21.4,23.2,13637,"(38.843840757000464, -106.13361092099967)","38.843840757000464, -106.13361092099967)","38.843840757000464, -106.13361092099967",OWS,OWS1,Q036,VALUE,8,Total,Total,OVR,OVERALL
2016,2016,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26,26,,,24.8,27.2,9960,"(41.56266102000046, -72.64984095199964)","41.56266102000046, -72.64984095199964)","41.56266102000046, -72.64984095199964",OWS,OWS1,Q036,VALUE,9,Total,Total,OVR,OVERALL
2016,2016,DE,Delaware,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.7,30.7,,,28.7,32.8,3702,"(39.008830667000495, -75.57774116799965)","39.008830667000495, -75.57774116799965)","39.008830667000495, -75.57774116799965",OWS,OWS1,Q036,VALUE,10,Total,Total,OVR,OVERALL
2016,2016,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,22.6,22.6,,,20.9,24.3,3479,"(38.89037138500049, -77.03196112699965)","38.89037138500049, -77.03196112699965)","38.89037138500049, -77.03196112699965",OWS,OWS1,Q036,VALUE,11,Total,Total,OVR,OVERALL
2016,2016,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.4,27.4,,,26.4,28.5,33186,"(28.932040377000476, -81.92896053899966)","28.932040377000476, -81.92896053899966)","28.932040377000476, -81.92896053899966",OWS,OWS1,Q036,VALUE,12,Total,Total,OVR,OVERALL
2016,2016,GA,Georgia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.4,31.4,,,29.7,33.2,4884,"(32.83968109300048, -83.62758034599966)","32.83968109300048, -83.62758034599966)","32.83968109300048, -83.62758034599966",OWS,OWS1,Q036,VALUE,13,Total,Total,OVR,OVERALL
2016,2016,HI,Hawaii,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.8,23.8,,,22.5,25.2,7659,"(21.304850435000446, -157.85774940299973)","21.304850435000446, -157.85774940299973)","21.304850435000446, -157.85774940299973",OWS,OWS1,Q036,VALUE,15,Total,Total,OVR,OVERALL
2016,2016,ID,Idaho,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.4,27.4,,,25.6,29.3,4880,"(43.682630005000476, -114.3637300419997)","43.682630005000476, -114.3637300419997)","43.682630005000476, -114.3637300419997",OWS,OWS1,Q036,VALUE,16,Total,Total,OVR,OVERALL
2016,2016,IL,Illinois,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.6,31.6,,,29.9,33.3,4518,"(40.48501028300046, -88.99771017799969)","40.48501028300046, -88.99771017799969)","40.48501028300046, -88.99771017799969",OWS,OWS1,Q036,VALUE,17,Total,Total,OVR,OVERALL
2016,2016,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.5,32.5,,,31.2,33.8,10319,"(39.766910452000445, -86.14996019399968)","39.766910452000445, -86.14996019399968)","39.766910452000445, -86.14996019399968",OWS,OWS1,Q036,VALUE,18,Total,Total,OVR,OVERALL
2016,2016,IA,Iowa,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32,32,,,30.5,33.4,6645,"(42.46940091300047, -93.81649055599968)","42.46940091300047, -93.81649055599968)","42.46940091300047, -93.81649055599968",OWS,OWS1,Q036,VALUE,19,Total,Total,OVR,OVERALL
2016,2016,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.5,25.5,,,23.9,27.2,5483,"(47.06652897200047, -109.42442064499971)","47.06652897200047, -109.42442064499971)","47.06652897200047, -109.42442064499971",OWS,OWS1,Q036,VALUE,30,Total,Total,OVR,OVERALL
2016,2016,NE,Nebraska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32,32,,,30.8,33.2,14173,"(41.6410409880005, -99.36572062299967)","41.6410409880005, -99.36572062299967)","41.6410409880005, -99.36572062299967",OWS,OWS1,Q036,VALUE,31,Total,Total,OVR,OVERALL
2016,2016,NV,Nevada,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.8,25.8,,,23.9,27.8,3981,"(39.493240390000494, -117.07184056399967)","39.493240390000494, -117.07184056399967)","39.493240390000494, -117.07184056399967",OWS,OWS1,Q036,VALUE,32,Total,Total,OVR,OVERALL
2016,2016,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.6,26.6,,,25,28.2,5888,"(43.65595011300047, -71.50036091999965)","43.65595011300047, -71.50036091999965)","43.65595011300047, -71.50036091999965",OWS,OWS1,Q036,VALUE,33,Total,Total,OVR,OVERALL
2016,2016,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.4,27.4,,,25.7,29.1,6810,"(40.13057004800049, -74.27369128799967)","40.13057004800049, -74.27369128799967)","40.13057004800049, -74.27369128799967",OWS,OWS1,Q036,VALUE,34,Total,Total,OVR,OVERALL
2016,2016,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.3,28.3,,,26.6,30.1,5531,"(34.52088095200048, -106.24058098499967)","34.52088095200048, -106.24058098499967)","34.52088095200048, -106.24058098499967",OWS,OWS1,Q036,VALUE,35,Total,Total,OVR,OVERALL
2016,2016,NY,New York,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.5,25.5,,,24.6,26.5,31269,"(42.82700103200045, -75.54397042699964)","42.82700103200045, -75.54397042699964)","42.82700103200045, -75.54397042699964",OWS,OWS1,Q036,VALUE,36,Total,Total,OVR,OVERALL
2016,2016,NC,North Carolina,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.8,31.8,,,30.4,33.3,5984,"(35.466220975000454, -79.15925046299964)","35.466220975000454, -79.15925046299964)","35.466220975000454, -79.15925046299964",OWS,OWS1,Q036,VALUE,37,Total,Total,OVR,OVERALL
2016,2016,ND,North Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.9,31.9,,,30.3,33.6,5348,"(47.47531977900047, -100.11842104899966)","47.47531977900047, -100.11842104899966)","47.47531977900047, -100.11842104899966",OWS,OWS1,Q036,VALUE,38,Total,Total,OVR,OVERALL
2016,2016,OH,Ohio,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31.5,31.5,,,30.2,32.8,11455,"(40.06021014100048, -82.40426005599966)","40.06021014100048, -82.40426005599966)","40.06021014100048, -82.40426005599966",OWS,OWS1,Q036,VALUE,39,Total,Total,OVR,OVERALL
2016,2016,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.8,32.8,,,31.2,34.3,6449,"(35.47203135600046, -97.52107021399968)","35.47203135600046, -97.52107021399968)","35.47203135600046, -97.52107021399968",OWS,OWS1,Q036,VALUE,40,Total,Total,OVR,OVERALL
2016,2016,OR,Oregon,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.7,28.7,,,27.3,30.3,5000,"(44.56744942400047, -120.15503132599969)","44.56744942400047, -120.15503132599969)","44.56744942400047, -120.15503132599969",OWS,OWS1,Q036,VALUE,41,Total,Total,OVR,OVERALL
2016,2016,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.3,30.3,,,28.8,31.8,6367,"(40.79373015200048, -77.86070029399963)","40.79373015200048, -77.86070029399963)","40.79373015200048, -77.86070029399963",OWS,OWS1,Q036,VALUE,42,Total,Total,OVR,OVERALL
2016,2016,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26.6,26.6,,,24.9,28.4,4936,"(41.70828019300046, -71.52247031399963)","41.70828019300046, -71.52247031399963)","41.70828019300046, -71.52247031399963",OWS,OWS1,Q036,VALUE,44,Total,Total,OVR,OVERALL
2016,2016,SC,South Carolina,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.3,32.3,,,31,33.6,10503,"(33.998821303000454, -81.04537120699968)","33.998821303000454, -81.04537120699968)","33.998821303000454, -81.04537120699968",OWS,OWS1,Q036,VALUE,45,Total,Total,OVR,OVERALL
2016,2016,SD,South Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.6,29.6,,,27.6,31.7,5371,"(44.353130053000484, -100.3735306369997)","44.353130053000484, -100.3735306369997)","44.353130053000484, -100.3735306369997",OWS,OWS1,Q036,VALUE,46,Total,Total,OVR,OVERALL
2016,2016,TN,Tennessee,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.8,34.8,,,33,36.7,5657,"(35.68094058000048, -85.77449091399967)","35.68094058000048, -85.77449091399967)","35.68094058000048, -85.77449091399967",OWS,OWS1,Q036,VALUE,47,Total,Total,OVR,OVERALL
2016,2016,TX,Texas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.7,33.7,,,31.9,35.4,10789,"(31.827240407000488, -99.42677020599967)","31.827240407000488, -99.42677020599967)","31.827240407000488, -99.42677020599967",OWS,OWS1,Q036,VALUE,48,Total,Total,OVR,OVERALL
2016,2016,UT,Utah,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.4,25.4,,,24.2,26.5,10043,"(39.360700171000474, -111.58713063499971)","39.360700171000474, -111.58713063499971)","39.360700171000474, -111.58713063499971",OWS,OWS1,Q036,VALUE,49,Total,Total,OVR,OVERALL
2016,2016,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.1,27.1,,,25.5,28.7,6071,"(43.62538123900049, -72.51764079099962)","43.62538123900049, -72.51764079099962)","43.62538123900049, -72.51764079099962",OWS,OWS1,Q036,VALUE,50,Total,Total,OVR,OVERALL
2016,2016,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29,29,,,27.7,30.3,8293,"(37.54268067400045, -78.45789046299967)","37.54268067400045, -78.45789046299967)","37.54268067400045, -78.45789046299967",OWS,OWS1,Q036,VALUE,51,Total,Total,OVR,OVERALL
2016,2016,WA,Washington,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.6,28.6,,,27.6,29.6,12990,"(47.52227862900048, -120.47001078999972)","47.52227862900048, -120.47001078999972)","47.52227862900048, -120.47001078999972",OWS,OWS1,Q036,VALUE,53,Total,Total,OVR,OVERALL
2016,2016,WV,West Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,37.7,37.7,,,36.3,39,6635,"(38.66551020200046, -80.71264013499967)","38.66551020200046, -80.71264013499967)","38.66551020200046, -80.71264013499967",OWS,OWS1,Q036,VALUE,54,Total,Total,OVR,OVERALL
2016,2016,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.7,30.7,,,29,32.5,4793,"(44.39319117400049, -89.81637074199966)","44.39319117400049, -89.81637074199966)","44.39319117400049, -89.81637074199966",OWS,OWS1,Q036,VALUE,55,Total,Total,OVR,OVERALL
2016,2016,WY,Wyoming,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.7,27.7,,,25.7,29.8,4200,"(43.23554134300048, -108.10983035299967)","43.23554134300048, -108.10983035299967)","43.23554134300048, -108.10983035299967",OWS,OWS1,Q036,VALUE,56,Total,Total,OVR,OVERALL
2016,2016,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.3,28.3,,,25.1,31.7,1477,"(13.444304, 144.793731)","13.444304, 144.793731)","13.444304, 144.793731",OWS,OWS1,Q036,VALUE,66,Total,Total,OVR,OVERALL
2016,2016,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.7,30.7,,,29,32.5,5528,"(18.220833, -66.590149)","18.220833, -66.590149)","18.220833, -66.590149",OWS,OWS1,Q036,VALUE,72,Total,Total,OVR,OVERALL
2016,2016,VI,Virgin Islands,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.5,32.5,,,28.6,36.6,1203,"(18.335765, -64.896335)","18.335765, -64.896335)","18.335765, -64.896335",OWS,OWS1,Q036,VALUE,78,Total,Total,OVR,OVERALL
